行政區名,_x0033_碼郵遞區號,中心點經度,中心點緯度,A1死亡人數,A1受傷人數,A2受傷人數,總受傷人數,總傷亡人數
屏東縣屏東市,900,120.4799948,22.6647375,25,8,7883,7891,7916
屏東縣恆春鎮,946,120.7632537,21.98531645,1,0,923,923,924
屏東縣春日鄉,942,120.6975799,22.40399754,1,0,15,15,16
屏東縣崁頂鄉,924,120.5006598,22.51528151,2,0,292,292,294
屏東縣泰武鄉,921,120.6917929,22.60408477,0,0,7,7,7
屏東縣琉球鄉,929,120.3710466,22.34000278,0,0,244,244,244
屏東縣高樹鄉,906,120.6017678,22.80992022,1,0,327,327,328
屏東縣新埤鄉,925,120.5846257,22.48676279,3,1,164,165,168
屏東縣新園鄉,932,120.4501429,22.5171903,6,3,765,768,774
屏東縣獅子鄉,943,120.7356454,22.26084921,0,0,78,78,78
屏東縣萬丹鄉,913,120.4766188,22.58849547,12,7,1414,1421,1433
屏東縣萬巒鄉,923,120.601817,22.58233459,6,4,307,311,317
屏東縣滿州鄉,947,120.8435675,22.04930015,3,0,65,65,68
屏東縣瑪家鄉,903,120.6799239,22.67107764,2,2,44,46,48
屏東縣潮州鎮,920,120.5568063,22.53642947,2,0,1555,1555,1557
屏東縣霧臺鄉,902,120.8008099,22.75990478,0,0,70,70,70
屏東縣麟洛鄉,909,120.5299693,22.64876367,2,0,478,478,480
屏東縣鹽埔鄉,907,120.5693941,22.74253636,5,3,540,543,548
苗栗縣三義鄉,367,120.7701929,24.38081659,4,6,196,202,206
苗栗縣三灣鄉,352,120.9525745,24.63599405,5,2,90,92,97
苗栗縣大湖鄉,364,120.8631192,24.39359641,3,1,73,74,77
苗栗縣公館鄉,363,120.8505904,24.50249686,3,0,271,271,274
苗栗縣竹南鎮,350,120.8777316,24.69862459,9,6,1715,1721,1730
苗栗縣西湖鄉,368,120.7614144,24.54153218,1,1,35,36,37
苗栗縣卓蘭鎮,369,120.8561966,24.32510167,0,0,67,67,67
苗栗縣南庄鄉,353,121.017471,24.56608432,1,3,49,52,53
苗栗縣後龍鎮,356,120.781205,24.6156265,6,1,457,458,464
苗栗縣苑裡鎮,358,120.6882195,24.4110232,6,5,685,690,696
